Tên phim,Thumbnail,Trailer,Thời lượng,Đánh giá,Thể loại,Diễn viên,Năm phát hành,Đạo diễn,Quốc gia,Mô tả
"Đại Chiến Người Khổng Lồ: Lần Tấn Công Cuối Cùng","attack-on-titan-the-last-attack.jpg","https://www.youtube.com/embed/Cfvb9VpqQQQ?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fdai-chien-nguoi-khong-lo-lan-tan-cong-cuoi-cung-pm16436&aoriginsup=1&vf=1","8700","7","Phim Hành Động, Phim Chiếu Rạp, Phim Anime, Phim Sắp Chiếu","Yûki Kaji, Yui Ishikawa, Marina Inoue","2025","Yûichirô Hayashi","Phim Nhật Bản","Đại Chiến Người Khổng Lồ: Lần Tấn Công Cuối Cùng Attack On Titan: The Last Attack 2025 kết hợp của hai tập cuối trong Attack on Titan: The Final Season đưa khán giả đến với trận chiến cuối cùng giữa Eren Yeager và những người đồng đội cũ. Khi Eren chọn con đường đơn độc để thực hiện lý tưởng tự do của mình, nhân loại phải đối mặt với nguy cơ diệt vong. @phimmoi"
"Rider: Giao Hàng Cho Ma","rider-ghost-delivery.jpg","https://www.youtube.com/embed/nDqZI2BVv5I?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Frider-giao-hang-cho-ma-pm16435&aoriginsup=1&vf=1","6240","6","Phim Hài Hước, Phim Chiếu Rạp, Phim Sắp Chiếu","Mario Maurer, Sarocha Chankimha, Phuwanet Seechomphu","2025","Nitivat Cholvanichsiri","Phim Thái Lan","Rider: Giao Hàng Cho Ma Rider: Ghost Delivery 2025 Nat (do Mario Maurer thủ vai) một nhân viên giao hàng có khả năng nhìn thấy linh hồn. Trong một lần giao hàng anh gặp phải những hiện tượng ma quái và phải đối mặt với nhiều tình huống dở khóc dở cười. Cùng với sự giúp đỡ của một người bạn (do Freen Sarocha thủ vai), họ cố gắng giải quyết những bí ẩn liên quan đến các linh hồn mà họ gặp phải. @phimmoi"
"Tee Yod: Quỷ Ăn Tạng 2","tee-yod-2.jpg","https://www.youtube.com/embed/GSXRCgV_bxk?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Ftee-yod-quy-an-tang-2-pm16270&aoriginsup=1&vf=1","6600","7","Phim Ma - Kinh Dị, Phim Chiếu Rạp","Nadech Kugimiya, Denise Jelilcha Kapaun, Mim Rattawadee Wongthong","2024","Taweewat Wantha","Phim Thái Lan","Tee Yod: Quỷ Ăn Tạng 2 Tee Yod 2 2024 là sự tiếp nối kinh hoàng, ba năm sau cái chết đầy bi kịch của em gái Yam. Yak, với nỗi đau không nguôi, tiếp tục hành trình truy tìm linh hồn đen tối đã cướp đi mạng sống của em mình. Anh tin rằng linh hồn này đã suy yếu theo thời gian và giờ chỉ còn có thể hấp thu những sinh linh non nớt sơ sinh.Trong quá trình điều tra những cái chết bí ẩn của các em bé vùng núi, Yak khám phá ra một sự thật đáng sợ: tất cả đều do một pháp sư quyền năng tên là Phuang điều khiển. Đối mặt với những bí ẩn chưa được giải đáp từ phần đầu, Yak bị kéo sâu vào một cuộc chiến sinh tử, nơi mỗi bước đi có thể dẫn đến cái chết. Một lực lượng khủng khiếp, không bị trói buộc bởi ranh giới hay đạo đức, âm thầm tàng hình trong bóng tối, chờ đợi thời cơ để nhấn chìm anh vào vực sâu của tuyệt vọng.Giữa những hiểm nguy rình rập và sự hiện diện ngày càng mạnh mẽ của các linh hồn độc ác, Yak phải dùng hết sức mạnh và trí tuệ của mình để đối đầu với Phuang. Cuộc chiến không chỉ là để cứu lấy những sinh mạng vô tội mà còn để giải thoát cho linh hồn của Yam và bảo vệ gia đình. Liệu anh có thể phá vỡ lời nguyền và tiêu diệt được linh hồn tà ác, hay mọi thứ sẽ chìm trong bóng tối của quỷ dữ? Cùng phimmoi theo dõi ngay. @phimmoi"
"Người Sói","wolf-man-2025.jpg","https://www.youtube.com/embed/kAw4PH2IQgo?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fnguoi-soi-pm16430&aoriginsup=1&vf=1","6180","7","Phim Hành Động, Phim Ma - Kinh Dị, Phim Chiếu Rạp","Christopher Abbott, Julia Garner, Sam Jaege","2025","Leigh Whannell","Phim Âu Mỹ","Người Sói Wolf Man 2025 Xoay quanh Blake Lovell (do Christopher Abbott thủ vai), một người đàn ông cùng gia đình chuyển đến một trang trại hẻo lánh ở Oregon sau khi thừa kế từ cha mình. Tại đây họ bị tấn công bởi một sinh vật bí ẩn. Khi đêm dần trôi Blake bắt đầu trải qua biến đổi cơ thể rất kinh hoàng, buộc vợ anh là Charlotte (do Julia Garner thủ vai), phải đưa ra những quyết định sinh tử để bảo vệ gia đình.  @phimmoi"
"Những Kẻ Bất Bại 2: Pantera","den-of-thieves-2-pantera.jpg","https://www.youtube.com/embed/VY6h1qL2DPY?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fnhung-ke-bat-bai-2-pantera-pm16395&aoriginsup=1&vf=1","8640","7","Phim Hành Động, Phim Hình Sự, Phim Chiếu Rạp","Gerard Butler, O*Shea Jackson Jr, Evin Ahmad","2025","Christian Gudegast","Phim Âu Mỹ","Những Kẻ Bất Bại 2: Pantera Den of Thieves 2: Pantera 2025 Sau sự kiện ở phần đầu thám tử Big Nick OBrien (Gerard Butler thủ vai) tiếp tục cuộc săn lùng tội phạm trên các con phố đầy rẫy tội phạm ở châu Âu. Anh theo dấu Donnie Wilson (O'Shea Jackson Jr. thủ vai) kẻ hiện đang dính líu đến thế giới nguy hiểm của những tên trộm kim cương và băng đảng mafia Pantera khét tiếng. Chúng đang âm mưu thực hiện một vụ cướp lớn tại sàn giao dịch kim cương lớn nhất thế giới. @phimmoi"
"Nhóc Quậy Và Khu Rừng Kỳ Diệu","wonderwoods.jpg","https://www.youtube.com/embed/JKATEFoigjs?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fnhoc-quay-va-khu-rung-ky-dieu-pm16418&aoriginsup=1&vf=1","4860","6","Phim Hoạt Hình, Phim Chiếu Rạp, Phim Sắp Chiếu","Yolande Moreau, José Garcia, Philippe Katerine","2025","Alexis Ducord","Phim Âu Mỹ","Nhóc Quậy Và Khu Rừng Kỳ Diệu Wonderwoods 2025 Câu chuyện xoay quanh Angelo một cậu bé 10 tuổi mơ ước trở thành nhà thám hiểm và nhà động vật học. Trong chuyến đi cùng gia đình để thăm người bà đang đau yếu, Angelo bị bỏ lại tại một trạm dừng chân. Thay vì chờ đợi cậu quyết định băng qua khu rừng bí ẩn để tìm lại gia đình. Trong hành trình này Angelo bước vào một thế giới kỳ lạ với những sinh vật độc đáo và đối mặt với nhiều thử thách, khám phá ra sức mạnh của lòng dũng cảm và tình bạn.  @phimmoi"
"Thiên Tài Ném Phao","bad-genius.jpg","https://www.youtube.com/embed/qRxGEIHeZSs?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fthien-tai-nem-phao-pm16411&aoriginsup=1&vf=1","5820","5","Phim Tâm Lý, Phim Chiếu Rạp, Phim Sắp Chiếu","Benedict Wong, Callina Liang, Jabari Banks","2024","J.C. Lee","Phim Âu Mỹ","Thiên Tài Ném Phao Bad Genius 2024 Câu chuyện xoay quanh Lynn Kang (Callina Liang thủ vai) một nữ sinh trung học xuất sắc với trí thông minh vượt trội. Nhận thấy cơ hội kiếm tiền và giúp đỡ các bạn học giàu có nhưng học lực kém Lynn lập kế hoạch gian lận trong các kỳ thi quan trọng. Cô hợp tác với Bank Adedamola (Jabari Banks thủ vai) một học sinh thông minh khác, để thực hiện các phi vụ gian lận tinh vi. Tuy nhiên, khi quy mô của các phi vụ ngày càng lớn, họ phải đối mặt với những thách thức đạo đức và nguy cơ bị phát hiện.  @phimmoi"
"Nhím Sonic 3","sonic-the-hedgehog-3.jpg","https://www.youtube.com/embed/qSu6i2iFMO0?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fnhim-sonic-3-pm16375&aoriginsup=1&vf=1","6540","7","Phim Hành Động, Phim Hài Hước, Phim Chiếu Rạp","Jim Carrey, Ben Schwartz, Colleen O*Shaughnessey, Natasha Rothwell, Shemar Moore","2024","Jeff Fowler","Phim Âu Mỹ","Nhím Sonic 3 Sonic the Hedgehog 3 2024 Sonic cùng những người bạn thân thiết là Knuckles và Tails phải đối mặt với kẻ thù mới đầy sức mạnh – Shadow, một nhân vật phản diện bí ẩn với năng lực vượt trội. Để chống lại mối đe dọa này, Sonic buộc phải liên minh với Tiến sĩ Robotnik, tạo nên những tình huống đầy kịch tính và bất ngờ.  @phimmoi"
"Phong Thần 2: Chiến Hỏa Tây Kỳ","creation-of-the-gods-ii-demon-force.jpg","https://www.youtube.com/embed/0mnajtTG3V0?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fphong-than-2-chien-hoa-tay-ky-pm16391&aoriginsup=1&vf=1","7200","7","Phim Hành Động, Phim Thần Thoại, Phim Chiếu Rạp, Phim Sắp Chiếu","Vu Thích, Na Nhĩ Na Thiến, Trần Mục Trì, Thử Sa, Hoàng Bột","2025","Ô Nhĩ Thiện","Phim Trung Quốc","Phong Thần 2: Chiến Hỏa Tây Kỳ Creation of the Gods II: Demon Force 2025 là phần tiếp theo của loạt phim thần thoại sử thi Trung Quốc tiếp nối thành công của Phong Thần Tam Bộ Khúc 2023. Phim dự kiến ra mắt vào ngày 29 tháng 1 năm 2025 tức mùng 1 Tết Nguyên Đán. Phim kể về cuộc chiến bảo vệ Tây Kỳ trước sự xâm lược của quân đội nhà Thương do Văn Trọng và Đặng Thiền Ngọc dẫn đầu. Dưới sự lãnh đạo của Khương Tử Nha và Cơ Phát cùng sự trợ giúp của các thần tiên như Dương Tiễn, Na Tra và Lôi Chấn Tử, quân Tây Kỳ phải đối mặt với những thử thách cam go để bảo vệ quê hương và tiếp tục cuộc tranh đoạt Phong Thần Bảng. @phimmoi"
"Mufasa: Vua Sư Tử","mufasa-the-lion-king.jpg","https://www.youtube.com/embed/o17MF9vnabg?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fmufasa-vua-su-tu-pm16362&aoriginsup=1&vf=1","7080","8","Phim Phiêu Lưu, Phim Chiếu Rạp","Aaron Pierre, Kelvin Harrison Jr, Tiffany Boone","2024","Barry Jenkins","Phim Âu Mỹ","Mufasa: Vua Sư Tử Mufasa: The Lion King 2024 là phần tiền truyện của Vua Sư Tử kể về hành trình từ một chú sư tử mồ côi đến khi trở thành vị vua huyền thoại của Mufasa. Câu chuyện được kể lại bởi Rafiki cho Kiara con gái của Simba và Nala với sự tham gia lồng tiếng của Timon và Pumbaa. Phim cũng tìm hiểu mối quan hệ giữa Mufasa và Taka (sau này là Scar) từ tình anh em đến khi trở thành kẻ thù. @phimmoi"
"Quỷ Môn Quan Phong Ấn","them-behind-the-door.jpg","https://www.youtube.com/embed/Bfu3n5ipBMM?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Fquy-mon-quan-phong-an-pm16383&aoriginsup=1&vf=1","6120","6","Phim Ma - Kinh Dị, Phim Chiếu Rạp, Phim Sắp Chiếu","Ivy Yin, Tào Hữu Ninh, Bai Ling","2024","Joe Chien","Phim Đài Loan","Quỷ Môn Quan Phong Ấn Them, Behind The Door 2024 Chen Wei và con gái chạy trốn khỏi người chồng vũ phu, tìm đến tòa nhà Butterfly Mansion nơi được biết đến với danh tiếng rùng rợn là điểm nóng của các vụ tự tử. Bỏ qua những lời cảnh báo về sự nguy hiểm của tòa nhà, họ quyết định ở lại do hoàn cảnh tài chính eo hẹp. Tuy nhiên những sự kiện kỳ lạ bắt đầu xảy ra, đặc biệt là liên quan đến căn phòng số 613 bị phong ấn. Khi tháng cô hồn đến gần các hiện tượng siêu nhiên ngày càng gia tăng, đẩy Chen Wei vào tình huống nguy hiểm hơn cả những gì cô từng trải qua.  @phimmoi"
"Tình Người Duyên Ma - Tái Hợp","tinh-nguoi-duyen-ma-tai-hop.jpg","https://www.youtube.com/embed/FtHT3_Zjql4?html5=1&autoplay=0&controls=0&showinfo=0&rel=0&modestbranding=0&playsinline=1&origin=https%3A%2F%2Fphimmoichill.best&enablejsapi=1&widgetid=1&forigin=https%3A%2F%2Fphimmoichill.best%2Finfo%2Ftinh-nguoi-duyen-ma-tai-hop-pm16382&aoriginsup=1&vf=1","6060","5","Phim Hài Hước, Phim Ma - Kinh Dị, Phim Chiếu Rạp","Vino G. Bastian, Marsha Timothy, Indra Jegel, Rigen Rakelna","2024","Herwin Novianto","Phim Tổng Hợp","Tình Người Duyên Ma - Tái Hợp Kang Mak from Pee Mak 2024 là phiên bản làm lại từ bộ phim hài – kinh dị nổi tiếng của Thái Lan ""Pee Mak – Tình Người Duyên Ma"". Phim xoay quanh Makmur một người lính Indonesia phải rời xa người vợ đang mang thai là Sari, để tham gia chiến tranh bảo vệ đất nước. Sau thời gian chiến đấu cùng các đồng đội anh trở về nhà và đoàn tụ với Sari, cô đã sinh con trong thời gian anh đi chiến đấu. Tuy nhiên những tin đồn trong làng cho rằng Sari đã qua đời và hiện chỉ là một hồn ma. Makmur và các chiến hữu của anh phải đối mặt với những tình huống dở khóc dở cười khi tìm cách giải quyết bí ẩn này.  @phimmoi"
